instance_id,depth_p10,depth_p50,depth_p90,depth_entropy,depth_skew,queue_entropy
1775,2,10,17,4.311043244503273,-0.007537576623334069,0.9881108365218302
1776,24,100,180,7.590076231860899,0.05612643432304931,0.08763851496608016
1777,11,87,177,7.591558968994817,0.15228396498977903,0.4619114721120979
1778,22,91,178,7.575569657990207,0.16335845696920626,0.21332771420202873
1779,23,99,179,7.602816874848775,0.059439435751600156,0.13102011723552995
1780,14,75,175,7.46799344552377,0.33345986372088426,0.2615190342409222
1781,23,99,179,7.5574896332046535,0.06747093689002615,0.0623712863366787
1782,22,92,178,7.607716544212849,0.15018118483618004,0.1715678606383861
1783,26,103,180,7.583927839724601,0.02238657472391936,0.13522096507805456
1784,28,102,180,7.567940774635568,0.05816941358396188,1.0263178359096825
1785,25,99,179,7.552527691467193,0.08360380160135383,1.5461917132921024
1786,18,87,177,7.542547038037718,0.19351861359788702,0.2811937964320427
1787,20,98,179,7.60768555086675,0.04871892061263061,0.22395258921450634
1788,37,109,181,7.540070882476665,-0.012574718880227431,0.8551775096006176
1789,20,91,178,7.548082617830785,0.1722524818160901,0.08876864454243404
1790,12,68,173,7.414657356336473,0.405117646801071,0.41491204768986406
1791,11,91,178,7.603046710098029,0.0966438392564577,0.4718970538750853
1792,23,97,179,7.5517840437698505,0.11163373813567667,1.3850888093406923
1793,17,91,178,7.581336948092947,0.12862641194223312,0.2893260877221141
1794,11,85,177,7.569446419054074,0.18230840007050475,0.4564121033267219
1795,25,103,180,7.633114410112304,-0.015106916980114349,0.23211591833920867
1796,20,97,179,7.591458250792821,0.07191671686604217,0.14934979386771505
1797,23,97,179,7.567479557662044,0.10402829131873015,0.10251059798479417
1798,12,82,176,7.5711609518858785,0.23862331086164612,0.4471285124980023
1799,19,97,179,7.54438155866633,0.07515556604893758,0.8160330030592405
1800,22,52,116,7.010238217015107,0.9224889361928612,1.017434870656762
1801,22,51,125,7.072644065080905,0.9183917541421925,0.11918620154921528
