instance_id,n,family,capacity_mode,capacity,seed,selected_count,solution_density,residual_capacity,capacity_utilization,last_selected_position,first_skipped_position
314,20,InverseCorrelated,fixed,1000,42,7,0.350000,153,0.847000,6,7
315,20,InverseCorrelated,fixed,1000,42,6,0.300000,200,0.800000,5,6
316,20,InverseCorrelated,fixed,1000,42,6,0.300000,68,0.932000,5,6
317,20,InverseCorrelated,fixed,1000,42,6,0.300000,57,0.943000,5,6
318,20,InverseCorrelated,fixed,1000,42,6,0.300000,288,0.712000,5,6
319,20,InverseCorrelated,fixed,1000,42,5,0.250000,203,0.797000,4,5
320,20,InverseCorrelated,fixed,1000,42,6,0.300000,75,0.925000,5,6
321,20,InverseCorrelated,fixed,1000,42,5,0.250000,234,0.766000,4,5
322,20,InverseCorrelated,fixed,1000,42,6,0.300000,94,0.906000,5,6
323,20,InverseCorrelated,fixed,1000,42,4,0.200000,329,0.671000,3,4
324,20,InverseCorrelated,fixed,1000,42,4,0.200000,298,0.702000,3,4
325,20,InverseCorrelated,fixed,1000,42,6,0.300000,105,0.895000,5,6
326,20,InverseCorrelated,fixed,1000,42,6,0.300000,178,0.822000,5,6
327,20,InverseCorrelated,fixed,1000,42,5,0.250000,57,0.943000,4,5
328,20,InverseCorrelated,fixed,1000,42,5,0.250000,110,0.890000,4,5
329,20,InverseCorrelated,fixed,1000,42,6,0.300000,146,0.854000,5,6
330,20,InverseCorrelated,fixed,1000,42,7,0.350000,136,0.864000,6,7
331,20,InverseCorrelated,fixed,1000,42,7,0.350000,252,0.748000,6,7
332,20,InverseCorrelated,fixed,1000,42,6,0.300000,181,0.819000,5,6
333,20,InverseCorrelated,fixed,1000,42,6,0.300000,133,0.867000,5,6
334,20,InverseCorrelated,fixed,1000,42,5,0.250000,3,0.997000,4,5
335,20,InverseCorrelated,fixed,1000,42,7,0.350000,299,0.701000,6,7
336,20,InverseCorrelated,fixed,1000,42,5,0.250000,224,0.776000,4,5
337,20,InverseCorrelated,fixed,1000,42,7,0.350000,238,0.762000,6,7
338,20,InverseCorrelated,fixed,1000,42,6,0.300000,133,0.867000,5,6
339,20,InverseCorrelated,fixed,1000,42,6,0.300000,140,0.860000,5,6
