instance_id,n,family,capacity_mode,capacity,seed,capacity_density,cells_allocated,total_evaluations,include_count,exclude_count,tie_count,include_ratio,nonzero_value_states,zero_value_states,fill_rate,optimal_value,mean_cell_value,cell_value_variance,sum_improvement_amount,mean_improvement_amount,updates_per_cell
1416,100,AlmostEqualRatios,scaled,26234,42,262.3400,26235,2571031,1396912,1146478,27641,0.543328,26228,7,0.999733,27273,13855.7246,61898974.9676,363504934,260.2204,53.246122
1417,100,AlmostEqualRatios,scaled,26035,42,260.3500,26036,2551529,1433623,1078533,39373,0.561868,26026,10,0.999616,27485,13944.8878,63092488.2413,363069100,253.2528,55.063105
1418,100,AlmostEqualRatios,scaled,25062,42,250.6200,25063,2456176,1258129,1165878,32169,0.512231,25047,16,0.999362,26413,13383.6496,58039700.5409,335434410,266.6137,50.198659
1419,100,AlmostEqualRatios,scaled,25145,42,251.4500,25146,2464309,1317900,1118926,27483,0.534795,25136,10,0.999602,26655,13528.4676,59330008.6568,340186847,258.1280,52.409926
1420,100,AlmostEqualRatios,scaled,24494,42,244.9400,24495,2400511,1276166,1094639,29706,0.531623,24478,17,0.999306,25642,13012.9393,54871384.7101,318751948,249.7731,52.099041
1421,100,AlmostEqualRatios,scaled,25292,42,252.9200,25293,2478716,1395540,1038886,44290,0.563009,25292,1,0.999960,26315,13402.4530,57770089.8483,338988243,242.9083,55.174950
1422,100,AlmostEqualRatios,scaled,26678,42,266.7800,26679,2614543,1390166,1185790,38587,0.531705,26664,15,0.999438,28052,14229.3441,65726208.9640,379624672,273.0787,52.107125
1423,100,AlmostEqualRatios,scaled,27609,42,276.0900,27610,2705781,1607824,1072671,25286,0.594218,27590,20,0.999276,29090,14726.1035,70505200.4232,406587719,252.8807,58.233394
1424,100,AlmostEqualRatios,scaled,26291,42,262.9100,26292,2576618,1329756,1218536,28326,0.516086,26282,10,0.999620,27989,14171.3610,65409235.2467,372593423,280.1968,50.576449
1425,100,AlmostEqualRatios,scaled,26262,42,262.6200,26263,2573775,1375150,1172939,25686,0.534293,26213,50,0.998096,27309,13875.1699,62094205.5115,364403586,264.9919,52.360736
1426,100,AlmostEqualRatios,scaled,25375,42,253.7500,25376,2486850,1255264,1206803,24783,0.504761,25347,29,0.998857,26527,13494.7922,58650724.3625,342443847,272.8062,49.466583
1427,100,AlmostEqualRatios,scaled,27135,42,271.3500,27136,2659330,1549506,1083698,26126,0.582668,27132,4,0.999853,28505,14482.7544,67854776.7643,393004024,253.6318,57.101489
1428,100,AlmostEqualRatios,scaled,24916,42,249.1600,24917,2441868,1314173,1089641,38054,0.538183,24899,18,0.999278,26262,13297.4457,57474958.1852,331332455,252.1224,52.742024
1429,100,AlmostEqualRatios,scaled,24303,42,243.0300,24304,2381793,1194076,1148971,38746,0.501335,24282,22,0.999095,25236,12814.8631,53008753.9241,311452432,260.8313,49.130843
1430,100,AlmostEqualRatios,scaled,21983,42,219.8300,21984,2154433,1119819,995049,39565,0.519774,21975,9,0.999591,23048,11685.6127,44182484.4236,256896509,229.4090,50.937909
1431,100,AlmostEqualRatios,scaled,24396,42,243.9600,24397,2390907,1147330,1216798,26779,0.479872,24378,19,0.999221,25741,13074.7068,55412466.6713,318983622,278.0226,47.027503
1432,100,AlmostEqualRatios,scaled,27992,42,279.9200,27993,2743315,1489292,1220166,33857,0.542880,27977,16,0.999428,29176,14797.7634,70794075.0329,414233790,278.1414,53.202301
1433,100,AlmostEqualRatios,scaled,27102,42,271.0200,27103,2656095,1442385,1183372,30338,0.543047,27085,18,0.999336,28472,14475.0459,67717003.9312,392317170,271.9920,53.218647
1434,100,AlmostEqualRatios,scaled,26387,42,263.8700,26388,2586026,1442702,1107859,35465,0.557884,26385,3,0.999886,28014,14195.3781,65502072.2623,374587637,259.6431,54.672654
1435,100,AlmostEqualRatios,scaled,26991,42,269.9100,26992,2645218,1473063,1139547,32608,0.556878,26949,43,0.998407,28155,14302.2745,65977711.2248,386046994,262.0709,54.574059
1436,100,AlmostEqualRatios,scaled,25219,42,252.1900,25220,2471561,1265872,1172054,33635,0.512175,25219,1,0.999960,26589,13499.7719,58971184.3402,340464247,268.9563,50.193180
1437,100,AlmostEqualRatios,scaled,25180,42,251.8000,25181,2467739,1536679,889757,41303,0.622707,25172,9,0.999643,26290,13371.2777,57740930.9674,336702144,219.1103,61.025337
1438,100,AlmostEqualRatios,scaled,28197,42,281.9700,28198,2763405,1506771,1234507,22127,0.545259,28177,21,0.999255,29688,15072.3680,73511312.8009,425010634,282.0672,53.435385
1439,100,AlmostEqualRatios,scaled,25289,42,252.8900,25290,2478422,1129435,1296393,52594,0.455707,25276,14,0.999446,26478,13471.3472,58488734.7617,340690371,301.6467,44.659352
1440,100,AlmostEqualRatios,scaled,22490,42,224.9000,22491,2204120,1122661,1051505,29954,0.509347,22482,9,0.999600,23632,11986.0439,46559306.2171,269578113,240.1242,49.916011
1441,100,AlmostEqualRatios,scaled,26031,42,260.3100,26032,2551137,1449589,1065847,35701,0.568213,26027,5,0.999808,27263,13848.3411,61966398.6988,360500016,248.6912,55.684888
1442,100,AlmostEqualRatios,scaled,22741,42,227.4100,22742,2228717,1222488,970986,35243,0.548516,22734,8,0.999648,23753,12059.0904,46866060.2140,274247833,224.3358,53.754639
1443,100,AlmostEqualRatios,scaled,24219,42,242.1900,24220,2373561,1274901,1067478,31182,0.537126,24212,8,0.999670,25146,12778.7048,52525405.4052,309500231,242.7641,52.638357
1444,100,AlmostEqualRatios,scaled,26464,42,264.6400,26465,2593571,1420640,1145916,27015,0.547754,26459,6,0.999773,28130,14248.5177,66151271.5736,377087020,265.4346,53.679955
1445,100,AlmostEqualRatios,scaled,24069,42,240.6900,24070,2358861,1416186,919444,23231,0.600369,24041,29,0.998795,25194,12816.5354,52976396.0617,308494008,217.8344,58.836145
1446,100,AlmostEqualRatios,scaled,24980,42,249.8000,24981,2448139,1407682,1014507,25950,0.575001,24957,24,0.999039,26111,13253.2807,56767088.7846,331080206,235.1953,56.350106
